ip,username,password
192.168.1.101,admin,P@ssword01
192.168.1.102,ubuntu,P@ssword02
192.168.1.103,root,P@ssword03
192.168.1.104,admin,P@ssword04
192.168.1.105,ubuntu,P@ssword05
192.168.1.106,root,P@ssword06
192.168.1.107,admin,P@ssword07
192.168.1.108,ubuntu,P@ssword08
192.168.1.109,root,P@ssword09
192.168.1.110,admin,P@ssword10
192.168.1.111,ubuntu,P@ssword11
192.168.1.112,root,P@ssword12
192.168.1.113,admin,P@ssword13
192.168.1.114,ubuntu,P@ssword14
192.168.1.115,root,P@ssword15
192.168.1.116,admin,P@ssword16
192.168.1.117,ubuntu,P@ssword17
192.168.1.118,root,P@ssword18
192.168.1.119,admin,P@ssword19
192.168.1.120,ubuntu,P@ssword20
